번호,구분,검진기관명,도로명주소,전화번호,일반검진,구강,위암,유방암,대장암,간암,자궁경부암,폐암,장애친화건강검진기관,영유아,휴일검진,데이터기준일자
1,"검진기관(구강,영유아)",북도보건지소,인천광역시 옹진군 북도면 시도로 82,032-899-3181,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
2,"검진기관(구강,영유아)",연평보건지소,인천광역시 옹진군 연평면 연평중앙로 24번길 3,032-899-3182,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
3,"검진기관(구강,영유아)",백령보건지소,인천광역시 옹진군 백령면 백령로833번길 26-29,032-899-3326,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
4,"검진기관(구강,영유아)",대청보건지소,인천광역시 옹진군 대청면 대청로 3 대청보건지소,032-899-3184,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
5,"검진기관(구강,영유아)",덕적보건지소,인천광역시 옹진군 덕적면 덕적남로 7-1,032-899-3185,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
6,"검진기관(구강,영유아)",자월보건지소,인천광역시 옹진군 자월면 자월서로 164번길 23 자월보건지소,032-899-3186,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
7,"검진기관(구강,영유아)",영흥보건지소,인천광역시 옹진군 영흥면 영흥남로 449,032-899-3187,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
8,"검진기관(구강,영유아)",장봉보건지소,인천광역시 옹진군 북도면 장봉로 554 장봉보건지소,032-899-3589,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,대상,해당없음,2023-08-21
9,"검진기관(일반,암,구강,영유아)",인천광역시 의료원 백령병원,인천광역시 옹진군 백령면 백령로 233 ,032-836-1733 ,대상,대상,대상,대상,대상,비대상,대상,비대상,비대상,대상,해당없음,2023-08-21
10,검진기관(일반),하나의료조합 영흥우리의원,인천광역시 옹진군 영흥면 영흥로176번길 8 영흥늘푸른센터 ,032-886-9411 ,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,해당없음,2023-08-21
11,검진기관(구강),하나의료조합 영흥치과의원,인천광역시 옹진군 영흥면 영흥로176번길 8 영흥늘푸른센터 ,032-887-2872 ,,대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,비대상,해당없음,2023-08-21
